"อำเภอ","ชาย60 ปี","หญิง60 ปี","ชาย61 ปี","หญิง61 ปี","ชาย62 ปี","หญิง62 ปี","ชาย63 ปี","หญิง63 ปี","ชาย64 ปี","หญิง64 ปี","ชาย65 ปี","หญิง65 ปี","ชาย66 ปี","หญิง66 ปี","ชาย67 ปี","หญิง67 ปี","ชาย68 ปี","หญิง68 ปี","ชาย69 ปี","หญิง69 ปี","ชาย70 ปี","หญิง70 ปี","ชาย71 ปี","หญิง71 ปี","ชาย72 ปี","หญิง72 ปี","ชาย73 ปี","หญิง73 ปี","ชาย74 ปี","หญิง74 ปี","ชาย75 ปี","หญิง75 ปี","ชาย76 ปี","หญิง76 ปี","ชาย77 ปี","หญิง77 ปี","ชาย78 ปี","หญิง78 ปี","ชาย79 ปี","หญิง79 ปี","ชาย80 ปี","หญิง80 ปี","ชาย81 ปี","หญิง81 ปี","ชาย82 ปี","หญิง82 ปี","ชาย83 ปี","หญิง83 ปี","ชาย84 ปี","หญิง84 ปี","ชาย85 ปี","หญิง85 ปี","ชาย86 ปี","หญิง86 ปี","ชาย87 ปี","หญิง87 ปี","ชาย88 ปี","หญิง88 ปี","ชาย89 ปี","หญิง89 ปี","ชาย90 ปี","หญิง90 ปี","ชาย91 ปี","หญิง91 ปี","ชาย92 ปี","หญิง92 ปี","ชาย93 ปี","หญิง93 ปี","ชาย94 ปี","หญิง94 ปี","ชาย95 ปี","หญิง95 ปี","ชาย96 ปี","หญิง96 ปี","ชาย97 ปี","หญิง97 ปี","ชาย98 ปี","หญิง98 ปี","ชาย99 ปี","หญิง99 ปี","ชาย100 ปี","หญิง100 ปี","ชาย101 ปี","หญิง101 ปี","ชาย102 ปี","หญิง102 ปี","ชายรวม","หญิงรวม","รวมทั้งหมด"
"เขตพระนคร","268","311","260","302","293","305","283","340","262","324","246","349","252","327","282","352","255","323","230","322","254","299","236","302","237","304","219","260","206","289","186","243","157","239","116","213","115","185","103","166","116","172","81","134","91","133","98","122","65","165","76","143","74","125","70","98","62","84","46","93","38","76","36","71","22","47","26","35","24","27","15","28","10","25","13","19","8","17","12","9","12","6","44","45","0","0","5,499","7,429","12,928"
"เขตดุสิต","498","584","463","546","460","548","483","595","462","544","431","527","410","450","432","546","408","555","388","542","358","461","388","487","340","415","322","440","268","393","296","380","270","344","235","300","213","313","202","266","195","273","175","292","193","278","185","224","182","202","187","240","208","191","173","197","133","196","144","157","127","134","119","144","107","135","94","97","70","73","67","64","56","57","71","51","43","38","45","40","40","40","242","193","0","0","10,183","12,552","22,735"
"เขตหนองจอก","1,124","1,162","975","1,051","913","1,044","944","1,014","767","900","677","792","645","776","563","674","506","640","509","610","445","550","408","575","402","522","327","436","336","413","306","408","236","318","207","275","190","256","152","246","164","235","125","171","151","214","119","160","106","201","94","137","81","136","78","123","50","74","36","70","46","73","28","56","28","35","29","35","10","29","18","20","7","18","9","10","9","9","5","9","4","8","16","19","0","0","11,845","14,504","26,349"
"เขตบางรัก","200","304","195","311","188","300","224","314","209","301","197","287","196","298","199","273","210","280","198","317","186","248","166","267","168","277","173","268","183","272","143","239","145","189","99","158","93","157","91","140","81","120","77","136","78","114","64","94","50","126","59","124","46","89","43","92","36","72","28","59","22","59","19","53","19","40","10","27","12","22","8","26","4","11","14","15","5","9","2","7","3","4","14","22","0","0","4,157","6,521","10,678"
"เขตบางเขน","1,214","1,509","1,127","1,509","1,079","1,420","1,070","1,459","994","1,345","950","1,241","849","1,229","805","1,196","747","1,089","698","1,070","632","945","627","883","557","843","567","833","499","829","424","678","409","599","364","558","336","496","283","471","278","422","237","391","241","399","177","313","183","321","157","290","116","231","140","209","115","193","81","158","70","112","65","139","46","91","32","67","21","63","19","32","23","31","8","31","10","18","7","12","8","6","16","32","0","0","16,281","23,763","40,044"
"เขตบางกะปิ","800","1,141","778","1,064","772","1,068","760","1,079","773","1,036","633","909","673","878","619","867","583","858","556","797","507","771","460","708","485","695","450","625","406","579","334","571","326","486","283","422","221","399","223","414","207","306","193","328","167","324","154","244","176","254","110","237","116","217","104","190","86","161","63","145","41","96","42","104","42","82","26","62","15","51","18","38","10","25","8","17","4","9","5","10","4","9","22","26","0","0","12,255","18,302","30,557"
"เขตปทุมวัน","233","304","224","308","217","293","222","306","229","316","204","266","207","240","198","298","191","246","179","280","193","245","144","233","170","219","171","203","144","212","131","172","114","161","100","131","73","119","70","121","59","92","64","110","54","100","51","59","48","79","49","85","35","62","43","59","30","47","23","50","21","43","19","43","14","32","7","28","10","20","5","11","5","8","5","12","5","5","3","5","0","2","17","13","0","0","3,981","5,638","9,619"
"เขตป้อมปราบศัตรูพ่าย","265","288","229","296","271","299","267","344","267","351","260","321","264","301","228","325","215","300","229","333","231","316","228","290","204","291","214","272","196","239","173","274","148","204","123","164","117","150","91","128","85","129","94","121","70","131","71","109","82","131","82","122","71","93","53","91","62","88","46","65","34","63","35","60","26","43","19","43","21","34","16","28","15","20","8","14","12","9","12","11","11","8","48","35","0","0","5,193","6,934","12,127"
"เขตพระโขนง","545","751","477","718","460","665","510","699","514","677","427","687","468","658","430","578","365","582","357","619","358","573","357","473","322","482","327","473","296","420","248","392","193","359","193","286","173","279","175","244","133","250","116","232","138","232","72","163","102","186","97","179","84","115","63","115","53","110","29","98","44","98","22","76","16","52","17","59","15","34","12","20","6","24","4","12","4","8","0","10","1","5","4","10","0","0","8,227","12,703","20,930"
"เขตมีนบุรี","939","1,129","853","1,067","781","989","764","985","691","918","629","805","574","793","541","716","510","633","505","656","418","571","439","543","364","507","323","486","309","406","271","373","217","306","172","234","149","258","154","248","136","252","103","197","124","206","93","146","94","162","79","148","64","128","43","101","50","79","42","75","23","62","22","46","20","39","12","35","11","23","7","17","10","8","7","8","5","10","4","4","5","8","19","16","0","0","10,576","14,393","24,969"
"เขตลาดกระบัง","1,046","1,342","1,035","1,253","974","1,158","935","1,239","821","1,061","721","933","715","880","669","793","586","717","599","774","521","702","450","606","381","604","381","524","317","520","295","389","250","351","212","308","190","270","199","276","162","248","113","210","145","259","98","191","105","194","113","148","67","147","65","133","56","113","46","75","38","83","22","60","32","38","24","38","14","31","9","23","5","15","7","10","8","14","4","4","7","6","15","19","0","0","12,452","16,759","29,211"
"เขตยานนาวา","460","625","436","594","399","572","423","625","438","574","401","495","390","516","400","530","352","527","354","554","340","453","323","396","311","442","301","420","281","414","207","328","201","279","159","272","162","217","147","217","154","191","118","164","115","180","82","145","99","137","81","130","72","120","56","117","67","82","47","99","36","76","31","59","33","43","28","42","22","36","17","35","16","17","18","16","6","10","9","12","6","8","37","47","0","0","7,635","10,816","18,451"
"เขตสัมพันธวงศ์","134","178","138","160","151","157","124","200","138","168","144","171","152","161","153","170","134","154","102","188","137","172","123","149","117","150","108","149","108","148","93","144","73","126","70","116","41","93","49","81","50","96","43","75","47","58","45","58","36","66","40","57","31","60","28","46","24","63","15","41","19","38","18","38","8","26","10","22","9","16","10","14","6","7","7","6","3","5","3","1","0","4","11","9","0","0","2,752","3,841","6,593"
"เขตพญาไท","331","469","302","420","313","436","322","436","270","395","307","395","243","382","265","367","246","415","269","366","203","335","201","328","214","315","198","350","220","279","164","259","146","241","117","226","129","217","112","174","103","200","106","178","92","181","82","124","102","130","74","133","53","142","65","139","41","86","55","85","37","83","39","65","32","52","20","46","14","38","5","35","11","26","6","21","7","16","2","12","3","6","16","30","0","0","5,537","8,633","14,170"
"เขตธนบุรี","617","797","636","815","619","795","609","836","648","817","631","778","583","785","564","744","523","677","504","719","457","628","436","621","426","567","384","581","336","541","299","446","284","434","220","354","209","346","215","320","153","306","165","284","164","259","149","231","123","257","123","221","105","182","100","199","90","161","90","125","66","96","61","113","35","84","30","67","27","49","23","35","15","34","11","18","19","13","9","14","8","7","42","66","0","0","10,808","15,422","26,230"
"เขตบางกอกใหญ่","379","531","399","509","405","465","414","541","412","531","347","510","312","495","349","474","331","446","344","468","290","469","283","411","264","441","267","367","234","378","223","343","178","281","164","249","138","240","128","223","119","210","97","199","121","215","94","154","101","165","100","143","76","139","68","117","59","94","51","90","32","71","47","67","21","56","19","44","12","34","7","13","8","18","5","18","4","9","6","4","6","2","13","18","0","0","6,927","10,252","17,179"
