tambon_clean,total_pop,elderly_pop,child_pop,elderly_pct,child_pct,vuln_score,combined_risk,risk_level
ช้างคลาน,12215,1772,300,0.14506753990994678,0.024559967253376995,0.7321,0.1576,ต่ำ
ช้างม่อย,6640,924,193,0.1391566265060241,0.029066265060240962,0.7331,0.1579,ต่ำ
ช้างเผือก,13100,1956,310,0.14931297709923663,0.02366412213740458,0.7444,0.1603,ต่ำ
ท่าศาลา,5340,912,125,0.1707865168539326,0.023408239700374533,0.831,0.1789,ต่ำ
ป่าตัน,10026,1394,230,0.13903849990025932,0.02294035507680032,0.6983,0.1504,ต่ำ
ป่าแดด,1528,226,23,0.14790575916230367,0.015052356020942409,0.6905,0.1487,ต่ำ
พระสิงห์,5770,908,93,0.15736568457538994,0.01611785095320624,0.7352,0.1583,ต่ำ
ฟ้าฮ่าม,886,141,23,0.15914221218961624,0.025959367945823927,0.7976,0.1718,ต่ำ
วัดเกต,17761,2547,442,0.14340408760767975,0.024885986149428524,0.7271,0.1566,ต่ำ
ศรีภูมิ,11176,1608,599,0.14387974230493916,0.05359699355762348,0.8897,0.1916,ต่ำ
สุเทพ,9045,1019,152,0.11265892758430072,0.016804864566058595,0.5558,0.1197,ต่ำ
หนองป่าครั่ง,1539,234,32,0.15204678362573099,0.02079272254710851,0.7396,0.1593,ต่ำ
หนองหอย,5793,900,141,0.15535991714137753,0.024339720352149145,0.773,0.1665,ต่ำ
หายยา,11198,1870,237,0.16699410609037327,0.02116449365958207,0.8029,0.1729,ต่ำ
